,Gemeindename,average
643,Ferenbalm,161.78618421052633
644,Ferpicloz,152.03076923076924
645,Ferrera,166.11111111111111
646,Ferreyres,145.17977528089887
647,Feuerthalen,158.09448818897638
648,Feusisberg,179.7840909090909
649,Fey,150.05741626794259
650,Fideris,170.49546827794563
651,Fiesch,178.15800415800416
652,Fieschertal,168.63194444444446
653,Fiez,152.56060606060606
654,Finhaut,169.4265402843602
655,Finsterhennen,162.99059561128527
656,Fischbach,170.76190476190476
657,Fischbach-Göslikon,164.81012658227849
658,Fischenthal,172.46569646569645
659,Fischingen,170.46197007481297
660,Fisibach,172.2289156626506
661,Fislisbach,160.9785391566265
662,Flaach,162.9692118226601
663,Flawil,162.52885988170507
664,Flerden,168.4436090225564
665,Flims,176.31038798498122
666,Flumenthal,165.83603896103895
667,Flums,171.9212121212121
668,Flurlingen,161.66171617161717
669,Fläsch,166.90167364016736
670,Flüelen,166.9062811565304
671,Flühli,177.11820083682008
672,Fontaines-sur-Grandson,151.07407407407408
673,Fontenais,148.36770833333333
674,Forel (Lavaux),154.91304347826087
675,Forst-Längenbühl,166.1153846153846
676,Founex,165.32798165137615
677,Frasco,154.15151515151516
678,Fraubrunnen,161.59297052154196
679,Frauenfeld,160.04297994269342
680,Frauenkappelen,159.58986175115209
681,Freienbach,173.70553849202417
682,Freienstein-Teufen,158.97000789265982
683,Freienwil,161.56589147286823
684,Freimettigen,158.4229074889868
685,Frenkendorf,165.593614383137
686,Fribourg,154.21858339680122
687,Frick,161.41611670718999
688,Froideville,149.45521390374333
689,Frutigen,171.36734095573146
690,Fräschels,160.4163568773234
691,Fulenbach,159.7919528949951
692,Full-Reuenthal,167.0659793814433
693,Fully,161.8006577745295
694,Furna,195.21904761904761
695,Fällanden,161.78052967140755
696,Féchy,166.37725631768953
697,Fétigny,145.61319340329834
698,Füllinsdorf,169.00211416490487
699,Fürstenau,161.89268292682928
700,Gachnang,162.48547279450608
701,Gais,168.0981554677207
702,Gaiserwald,159.97124600638978
703,Galgenen,169.22607722439844
704,Galmiz,155.02313624678663
705,Gals,154.28601694915255
706,Gambarogno,148.66345335979585
707,Gampel-Bratsch,173.9006968641115
708,Gampelen,161.2248427672956
709,Gams,167.26605005440697
710,Gansingen,170.584142394822
711,Gebenstorf,161.27321048901487
712,Gelterkinden,165.69316987740805
713,Geltwil,169.15328467153284
714,Gempen,170.0954446854664
715,Gempenach,159.0487804878049
716,Genolier,162.4593220338983
717,Genthod,162.00290065264684
718,Genève,164.27066336663916
719,Gerlafingen,160.68283294842186
720,Geroldswil,163.76034958601656
721,Gersau,170.93704006541293
722,Gerzensee,167.18777943368107
723,Gettnau,164.4928684627575
724,Geuensee,156.56063618290258
725,Gibloux,151.80998080614202
726,Giebenach,169.68588770864946
727,Giez,153.59176029962546
728,Giffers,158.61806981519507
729,Gilly,154.14342629482073
730,Gimel,150.5609756097561
731,Gingins,161.91875
732,Giornico,149.31059245960503
733,Gipf-Oberfrick,162.74028856825748
734,Gisikon,161.36148648648648
735,Giswil,164.8173832639852
736,Givisiez,151.0062082139446
737,Givrins,161.85148514851485
738,Gland,152.1793697070665
739,Glarus,164.09684577587572
740,Glarus Nord,163.13587170405353
741,Glarus Süd,168.8559477657621
742,Glattfelden,159.15449541284403
743,Gletterens,150.2566765578635
744,Goldach,159.69828861187406
745,Gollion,147.95390070921985
746,Gommiswald,170.72471358428805
747,Goms,180.00301659125188
748,Gondiswil,167.91211401425178
749,Gonten,173.4848484848485
750,Gontenschwil,169.17032967032966
751,Gordola,146.0388870264834
752,Gossau (SG),160.07620614035088
753,Gossau (ZH),163.12087912087912
754,Gottlieben,173.54301075268816
755,Goumoëns,151.05863708399366
756,Graben,160.85641025641024
757,Grabs,164.8502777777778
758,Grancia,156.04285714285714
759,Grancy,153.40677966101694
760,Grandcour,155.91836734693877
761,Grandevent,167.57861635220127
762,Grandfontaine,159.82488479262673
763,Grandson,150.0081344902386
764,Grandval,161.14225941422595
765,Grandvillard,158.84848484848484
766,Granges (Veveyse),155.3302752293578
767,Granges-Paccot,150.13039568345323
768,Grangettes,161.53488372093022
769,Gravesano,145.32527693857
770,Greifensee,163.2798861480076
771,Grellingen,172.35466377440346
772,Grenchen,163.67681525735293
773,Greng,182.89743589743588
774,Grengiols,183.52
775,Grens,159.78181818181818
776,Greppen,166.25746268656715
777,Gretzenbach,163.18770654329148
